FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2006-01-01,0.0,0.0,0.0,0.0,0
2006-01-02,1.2,1.3,0.8,0.0,0
2006-01-03,2.6,15.3,2.6,0.0,0
2006-01-04,23.4,18.3,0.6,0.0,0
2006-01-05,27.0,4.3,10.2,0.0,0
2006-01-06,8.4,3.6,0.5,0.0,0
2006-01-07,0.4,3.1,10.2,0.0,0
2006-01-08,0.0,8.5,0.0,0.0,0
2006-01-09,2.2,0.3,0.0,0.0,0
2006-01-10,10.4,2.0,4.0,0.0,0
2006-01-11,1.4,5.0,0.0,0.0,0
2006-01-12,3.1,2.0,7.8,0.0,0
2006-01-13,43.0,0.0,25.0,0.0,0
2006-01-14,11.2,10.0,9.9,0.0,0
2006-01-15,35.0,182.0,25.0,0.0,0
2006-01-16,2.2,10.0,0.8,0.0,0
2006-01-17,2.2,6.2,5.3,0.0,0
2006-01-18,103.0,72.0,8.4,0.0,0
2006-01-19,21.0,3.0,14.4,0.0,0
2006-01-20,37.6,20.0,8.3,0.0,0
2006-01-21,49.6,14.3,34.4,0.0,0
2006-01-22,32.6,5.1,28.6,0.0,0
2006-01-23,0.0,62.0,3.2,0.0,0
2006-01-24,0.0,10.0,0.2,0.0,0
2006-01-25,1.2,2.2,11.2,0.0,0
2006-01-26,1.2,13.2,9.3,0.0,0
2006-01-27,7.2,0.2,18.2,0.0,0
2006-01-28,6.6,1.0,9.2,0.0,0
2006-01-29,10.2,0.0,18.3,0.0,0
2006-01-30,0.4,0.3,0.2,0.0,0
2006-01-31,0.8,0.0,4.0,0.0,0
2006-02-01,1.6,10.0,10.2,0.0,0
2006-02-02,12.2,22.0,4.5,0.0,0
2006-02-03,1.6,5.0,4.3,0.0,0
2006-02-04,1.8,0.3,6.4,0.0,0
2006-02-05,8.4,0.4,38.0,0.0,0
2006-02-06,5.2,50.0,18.3,0.0,0
2006-02-07,23.1,70.0,50.4,0.0,0
2006-02-08,7.2,18.4,18.1,0.0,0
2006-02-09,47.5,1.1,32.2,0.0,0
2006-02-10,9.9,14.0,18.2,0.0,0
2006-02-11,28.2,95.3,32.2,0.0,0
2006-02-12,7.9,5.2,9.2,0.0,0
2006-02-13,5.8,116.0,4.2,0.0,0
2006-02-14,1.4,32.2,0.2,0.0,0
2006-02-15,4.4,23.2,7.3,0.0,0
2006-02-16,5.2,2.1,0.3,0.0,0
2006-02-17,0.0,4.0,0.1,0.0,0
2006-02-18,2.2,0.0,0.5,0.0,0
2006-02-19,10.3,0.3,11.0,0.0,0
2006-02-20,4.4,0.2,7.3,0.0,0
2006-02-21,1.1,11.8,10.3,0.0,0
2006-02-22,7.9,17.0,42.3,0.0,0
2006-02-23,0.1,6.0,25.2,0.0,0
2006-02-24,1.1,12.4,2.2,0.0,0
2006-02-25,2.1,5.4,11.0,0.0,0
2006-02-26,8.1,65.4,25.4,0.0,0
2006-02-27,20.8,6.4,14.6,0.0,0
2006-02-28,7.5,13.2,1.4,0.0,0
2006-03-01,6.2,15.0,11.0,0.0,0
2006-03-02,0.4,82.0,1.2,0.0,0
2006-03-03,60.0,6.4,42.4,0.0,0
2006-03-04,10.2,0.2,4.1,0.0,0
2006-03-05,1.3,0.3,5.2,0.0,0
2006-03-06,6.9,2.4,1.2,0.0,0
2006-03-07,13.6,60.0,9.3,0.0,0
2006-03-08,3.2,50.0,4.2,0.0,0
2006-03-09,3.1,15.0,0.4,0.0,0
2006-03-10,4.3,70.0,4.3,0.0,0
2006-03-11,18.9,22.0,35.3,0.0,0
2006-03-12,2.4,1.0,4.0,0.0,0
2006-03-13,38.5,0.1,21.0,0.0,0
2006-03-14,8.0,1.1,6.0,0.0,0
2006-03-15,0.9,1.2,6.0,0.0,0
2006-03-16,12.5,5.3,7.4,0.0,0
2006-03-17,0.6,1.0,2.2,0.0,0
2006-03-18,24.3,27.0,18.4,0.0,0
2006-03-19,21.0,33.0,20.3,0.0,0
2006-03-20,2.0,0.4,0.2,0.0,0
2006-03-21,4.2,17.0,17.0,0.0,0
2006-03-22,1.2,20.0,7.0,0.0,0
2006-03-23,0.3,0.4,14.2,0.0,0
2006-03-24,26.0,74.0,37.2,0.0,0
2006-03-25,12.6,25.0,10.2,0.0,0
2006-03-26,0.4,0.0,2.2,0.0,0
2006-03-27,4.0,5.2,3.2,0.0,0
2006-03-28,3.0,1.2,0.1,0.0,0
2006-03-29,18.0,0.3,5.2,0.0,0
2006-03-30,34.0,9.3,7.9,0.0,0
2006-03-31,7.4,38.0,25.3,0.0,0
2006-04-01,0.4,6.3,34.0,0.0,0
2006-04-02,25.0,16.0,25.2,0.0,0
2006-04-03,0.0,17.2,52.5,0.0,0
2006-04-04,16.0,18.2,8.2,0.0,0
2006-04-05,13.5,26.6,13.5,0.0,0
2006-04-06,11.1,12.0,16.2,0.0,0
2006-04-07,26.8,90.4,28.6,0.0,0
2006-04-08,13.0,27.0,16.3,0.0,0
2006-04-09,7.2,2.4,1.2,0.0,0
2006-04-10,13.2,0.8,7.1,0.0,0
2006-04-11,0.0,5.8,0.3,0.0,0
2006-04-12,3.2,0.4,2.0,0.0,0
2006-04-13,6.0,25.0,46.1,0.0,0
2006-04-14,1.2,1.2,0.4,0.0,0
2006-04-15,9.0,10.2,4.4,0.0,0
2006-04-16,17.0,1.0,16.1,0.0,0
2006-04-17,25.0,1.0,7.2,0.0,0
2006-04-18,0.0,3.5,1.2,0.0,0
2006-04-19,0.0,0.4,2.1,0.0,0
2006-04-20,1.2,0.0,2.0,0.0,0
2006-04-21,0.0,0.0,0.5,0.0,0
2006-04-22,0.0,0.0,0.0,0.0,0
2006-04-23,0.0,0.0,0.0,0.0,0
2006-04-24,0.0,0.0,0.0,0.0,0
2006-04-25,3.0,25.0,0.0,0.0,0
2006-04-26,2.0,3.0,0.0,0.0,0
2006-04-27,3.3,1.6,1.2,0.0,0
2006-04-28,0.0,4.0,0.0,0.0,0
2006-04-29,0.0,0.0,0.0,0.0,0
2006-04-30,0.0,2.0,4.2,0.0,0
2006-05-01,0.0,1.4,0.0,0.0,0
2006-05-02,9.0,1.2,0.2,0.0,0
2006-05-03,10.2,0.8,7.3,0.0,0
2006-05-04,0.5,0.4,0.0,0.0,0
2006-05-05,0.0,0.0,0.0,0.0,0
2006-05-06,0.0,0.0,0.2,0.0,0
2006-05-07,21.1,0.0,23.3,0.0,0
2006-05-08,20.1,1.0,2.1,0.0,0
2006-05-09,5.1,0.0,1.2,0.0,0
2006-05-10,0.4,0.0,1.4,0.0,0
2006-05-11,1.1,0.1,0.4,0.0,0
2006-05-12,0.0,0.0,0.2,0.0,0
2006-05-13,0.0,0.0,0.0,0.0,0
2006-05-14,0.0,0.0,0.0,0.0,0
2006-05-15,0.0,0.0,0.0,0.0,0
2006-05-16,0.0,0.0,0.0,0.0,0
2006-05-17,0.0,0.0,0.0,0.0,0
2006-05-18,0.0,0.0,0.0,0.0,0
2006-05-19,0.0,0.0,0.0,0.0,0
2006-05-20,0.0,0.1,0.0,0.0,0
2006-05-21,0.0,4.3,0.2,0.0,0
2006-05-22,0.0,3.0,0.3,0.0,0
2006-05-23,0.0,16.5,0.0,0.0,0
2006-05-24,0.0,0.0,0.0,0.0,0
2006-05-25,0.0,0.0,0.2,0.0,0
2006-05-26,0.0,0.0,0.0,0.0,0
2006-05-27,0.0,0.0,0.0,0.0,0
2006-05-28,0.0,0.0,0.0,0.0,0
2006-05-29,0.0,0.0,0.0,0.0,0
2006-05-30,0.0,0.0,0.2,0.0,0
2006-05-31,0.0,0.0,0.0,0.0,0
2006-06-01,4.1,0.0,3.2,0.0,0
2006-06-02,0.0,0.0,0.0,0.0,0
2006-06-03,1.0,0.0,3.0,0.0,0
2006-06-04,1.2,23.7,0.4,0.0,0
2006-06-05,0.4,8.4,8.8,0.0,0
2006-06-06,0.0,30.4,0.4,0.0,0
2006-06-07,22.0,0.1,20.2,0.0,0
2006-06-08,25.5,12.5,50.0,0.0,0
2006-06-09,0.1,3.3,0.4,0.0,0
2006-06-10,0.0,14.3,1.8,0.0,0
2006-06-11,0.0,0.8,0.4,0.0,0
2006-06-12,4.0,10.5,4.0,0.0,0
2006-06-13,1.4,0.3,0.1,0.0,0
2006-06-14,1.2,0.3,0.1,0.0,0
2006-06-15,0.2,0.2,1.0,0.0,0
2006-06-16,9.3,0.0,0.6,0.0,0
2006-06-17,0.2,0.3,7.0,0.0,0
2006-06-18,0.0,0.2,0.0,0.0,0
2006-06-19,0.0,0.2,0.2,0.0,0
2006-06-20,0.0,0.2,0.4,0.0,0
2006-06-21,0.0,9.3,0.4,0.0,0
2006-06-22,30.0,0.3,4.2,0.0,0
2006-06-23,2.2,0.7,6.6,0.0,0
2006-06-24,18.0,15.3,10.0,0.0,0
2006-06-25,0.0,2.4,2.2,0.0,0
2006-06-26,0.0,0.1,0.0,0.0,0
2006-06-27,0.0,0.0,0.0,0.0,0
2006-06-28,0.1,0.8,0.2,0.0,0
2006-06-29,0.0,0.1,2.5,0.0,0
2006-06-30,0.0,0.2,0.0,0.0,0
2006-07-01,0.0,0.0,0.0,0.0,0
2006-07-02,0.0,0.0,50.0,0.0,0
2006-07-03,0.0,0.4,2.0,0.0,0
2006-07-04,0.0,0.0,0.4,0.0,0
2006-07-05,0.0,0.0,0.4,0.0,0
2006-07-06,0.0,0.3,0.0,0.0,0
2006-07-07,0.0,0.2,0.0,0.0,0
2006-07-08,0.0,0.0,0.0,0.0,0
2006-07-09,0.0,0.1,0.2,0.0,0
2006-07-10,0.2,0.2,0.2,0.0,0
2006-07-11,0.0,0.2,1.2,0.0,0
2006-07-12,0.0,0.1,0.0,0.0,0
2006-07-13,0.0,0.0,0.0,0.0,0
2006-07-14,0.0,0.4,0.0,0.0,0
2006-07-15,1.2,16.4,0.0,0.0,0
2006-07-16,1.4,18.4,5.0,0.0,0
2006-07-17,0.3,0.3,1.4,0.0,0
2006-07-18,0.0,0.0,2.4,0.0,0
2006-07-19,0.0,0.2,0.2,0.0,0
2006-07-20,0.0,0.0,0.4,0.0,0
2006-07-21,0.0,0.0,0.0,0.0,0
2006-07-22,0.0,0.0,0.0,0.0,0
2006-07-23,0.0,0.0,0.0,0.0,0
2006-07-24,0.0,0.0,0.3,0.0,0
2006-07-25,0.0,0.0,0.3,0.0,0
2006-07-26,10.0,2.3,0.3,0.0,0
2006-07-27,0.0,0.0,15.0,0.0,0
2006-07-28,6.0,0.0,3.0,0.0,0
2006-07-29,2.3,1.0,22.3,0.0,0
2006-07-30,2.1,14.2,1.0,0.0,0
2006-07-31,4.3,5.2,4.3,0.0,0
2006-08-01,0.0,0.0,0.4,0.0,0
2006-08-02,0.0,0.0,0.0,0.0,0
2006-08-03,0.0,0.0,0.0,0.0,0
2006-08-04,0.0,0.0,0.0,0.0,0
2006-08-05,0.0,0.0,3.2,0.0,0
2006-08-06,0.0,0.0,0.0,0.0,0
2006-08-07,0.0,0.0,0.0,0.0,0
2006-08-08,0.0,0.0,0.0,0.0,0
2006-08-09,0.0,0.0,0.0,0.0,0
2006-08-10,0.0,8.0,0.0,0.0,0
2006-08-11,0.4,21.0,,0.0,0
2006-08-12,0.0,0.0,0.0,0.0,0
2006-08-13,1.1,2.2,11.0,0.0,0
2006-08-14,0.0,2.0,0.0,0.0,0
2006-08-15,0.0,0.0,0.0,0.0,0
2006-08-16,0.0,0.0,0.0,0.0,0
2006-08-17,0.0,0.2,1.0,0.0,0
2006-08-18,10.0,2.0,6.0,0.0,0
2006-08-19,0.0,0.0,0.0,0.0,0
2006-08-20,2.0,0.0,7.0,0.0,0
2006-08-21,0.0,0.0,2.0,0.0,0
2006-08-22,0.0,0.0,0.0,0.0,0
2006-08-23,33.0,0.0,7.0,0.0,0
2006-08-24,0.0,0.0,0.4,0.0,0
2006-08-25,0.0,0.0,0.0,0.0,0
2006-08-26,4.0,0.0,0.0,0.0,0
2006-08-27,4.0,0.0,0.2,0.0,0
2006-08-28,0.3,0.0,16.2,0.0,0
2006-08-29,3.0,6.2,17.0,0.0,0
2006-08-30,10.5,0.0,0.7,0.0,0
2006-08-31,16.5,0.0,24.0,0.0,0
2006-09-01,1.0,0.0,1.2,0.0,0
2006-09-02,1.0,0.0,1.2,0.0,0
2006-09-03,0.0,0.0,0.0,0.0,0
2006-09-04,0.2,25.0,7.0,0.0,0
2006-09-05,58.0,0.0,0.0,0.0,0
2006-09-06,0.6,0.0,0.1,0.0,0
2006-09-07,0.0,0.0,0.0,0.0,0
2006-09-08,0.0,0.0,0.0,0.0,0
2006-09-09,0.0,0.0,0.0,0.0,0
2006-09-10,0.0,0.0,12.0,0.0,0
2006-09-11,0.0,0.0,0.0,0.0,0
2006-09-12,0.0,0.0,2.3,0.0,0
2006-09-13,0.0,0.0,0.2,0.0,0
2006-09-14,1.0,2.8,20.0,0.0,0
2006-09-15,0.0,0.0,14.2,0.0,0
2006-09-16,0.0,0.0,0.0,0.0,0
2006-09-17,0.0,0.0,0.2,0.0,0
